code,name,theme1,theme2,theme3,theme4,theme5,theme6,theme7,theme8,theme9,theme10,theme11,theme12,theme13,theme14,theme15,theme16,theme17,theme18,theme19,theme20,theme21,theme22,theme23,theme24
369370,대신밸런스제9호스팩,2020 하반기 신규상장,기업인수목적회사(SPAC),,,,,,,,,,,,,,,,,,,,,,
367460,유안타제7호스팩,2020 하반기 신규상장,기업인수목적회사(SPAC),,,,,,,,,,,,,,,,,,,,,,
051910,LG화학,2차전지,바이오시밀러(복제 바이오의약품),아이폰,탄소나노튜브(CNT),K-뉴딜지수(2차전지),2차전지(생산),고령화 사회(노인복지),"백신/진단시약/방역(신종플루, AI 등)",석유화학,전기차,전력저장장치(ESS),K-뉴딜지수,OLED(유기 발광 다이오드),,,,,,,,,,,
006400,삼성SDI,2차전지,스마트폰,아이폰,전기자전거,IT 대표주,K-뉴딜지수(2차전지),LCD 부품/소재,2차전지(생산),전기차,전력저장장치(ESS),K-뉴딜지수,,,,,,,,,,,,,
096770,SK이노베이션,2차전지,폴더블폰,플렉서블 디스플레이,K-뉴딜지수(2차전지),LPG(액화석유가스),2차전지(생산),석유화학,자원개발,전기차,전력저장장치(ESS),정유,K-뉴딜지수,,,,,,,,,,,,
086520,에코프로,2차전지,2차전지(소재/부품),온실가스(탄소배출권),지주사,,,,,,,,,,,,,,,,,,,,
137400,피엔티,2차전지,LCD장비,2차전지(장비),전력저장장치(ESS),,,,,,,,,,,,,,,,,,,,
131390,원익피앤이,2차전지,2차전지(장비),전기차,전력저장장치(ESS),,,,,,,,,,,,,,,,,,,,
020150,일진머티리얼즈,2차전지,2차전지(소재/부품),K-뉴딜지수(2차전지),PCB(FPCB 등),K-뉴딜지수,,,,,,,,,,,,,,,,,,,
066970,엘앤에프,2차전지,2차전지(소재/부품),전기차,,,,,,,,,,,,,,,,,,,,,
047310,파워로직스,2차전지,2차전지(소재/부품),갤럭시 부품주,스마트폰,전기자전거,바이오인식(생체인식),전기차,전력저장장치(ESS),카메라모듈/부품,휴대폰부품,,,,,,,,,,,,,,
093370,후성,2차전지,2차전지(소재/부품),3D 낸드(NAND),반도체 재료/부품,여름,온실가스(탄소배출권),日 수출 규제(국산화 등),K-뉴딜지수(2차전지),K-뉴딜지수,,,,,,,,,,,,,,,
005070,코스모신소재,2차전지,2차전지(소재/부품),전기차,MLCC(적층세라믹콘덴서),,,,,,,,,,,,,,,,,,,,
091580,상신이디피,2차전지,2차전지(소재/부품),전기차,휴대폰부품,,,,,,,,,,,,,,,,,,,,
361610,SK아이이테크놀로지,2차전지,2차전지(소재/부품),2021 상반기 신규상장,,,,,,,,,,,,,,,,,,,,,
093920,서원인텍,2차전지,2차전지(소재/부품),휴대폰부품,,,,,,,,,,,,,,,,,,,,,
054210,이랜텍,2차전지,2차전지(소재/부품),갤럭시 부품주,메타버스(Metaverse),무선충전기술,가상현실(VR),증강현실(AR),휴대폰부품,,,,,,,,,,,,,,,,
